name,tree,rep,model,logl,k,AIC,AICc,BIC,rf,treelength
LAC,salichos,4,m5,-8490.3627,43,17066.7255,17084.0833,17220.1643,6,9.5777355732
LAC,salichos,4,m1,-7090.9403,45,14271.8805,14291.0472,14432.4560,4,8.909562686400001
LAC,salichos,4,m3,-7465.7139,44,15019.4278,15037.6766,15176.4350,4,6.7606190637
LAC,salichos,4,m2,-7173.5060,63,14473.0120,14513.7393,14697.8178,6,9.635292532899998
LAC,rayfinned,4,m3,-37444.3165,608,76104.6329,816648.6329,78274.1864,102,25.7159878453
LAC,rayfinned,4,m2,-35518.3290,627,72290.6580,859802.6580,74528.0100,104,39.73614287720003
LAC,rayfinned,4,m1,-34744.4273,609,70706.8547,813686.8547,72879.9765,100,35.820324587500046
LAC,rayfinned,4,m4,-38472.0739,626,78196.1478,863200.1478,80429.9314,104,26.324976023799994
LAC,rayfinned,4,poisson,-41236.5266,607,83687.0531,821799.0531,85853.0382,106,24.803949112199998
LAC,rayfinned,4,m5,-43076.7299,607,87367.4599,825479.4599,89533.4450,110,35.63458850200002
LAC,rayfinned,4,GTR20,-37305.5024,815,76241.0047,1406321.0047,79149.2055,98,25.536422314899976
LAC,spiralia,4,m4,-25120.0247,203,50646.0494,52074.0494,51370.4233,10,19.069081011599994
LAC,spiralia,4,poisson,-26744.7478,203,53895.4956,55323.4956,54619.8695,8,18.62144627849999
LAC,spiralia,4,m5,-28422.8545,203,57251.7089,58679.7089,57976.0829,10,27.72355880260001
LAC,spiralia,4,m1,-22599.4907,205,45608.9814,47117.1957,46340.4921,16,27.369543228100007
LAC,spiralia,4,m3,-24367.7951,204,49143.5903,50610.9587,49871.5326,12,20.555746784300023
LAC,spiralia,4,m2,-23036.5640,223,46519.1281,49148.1807,47314.8689,18,39.22448658540001
LAC,spiralia,4,GTR20,-24348.9232,411,49519.8465,388183.8465,50986.4361,10,19.321887278700004
LAC,dosreis,5,poisson,-22871.1035,545,46832.2071,641972.2071,48776.9548,106,12.112515477599995
LAC,dosreis,5,GTR20,-20872.4738,753,43250.9475,1178774.9475,45937.9109,106,12.27395948969999
LAC,dosreis,5,m3,-20908.2532,565,42946.5065,682526.5065,44962.6211,98,12.254261906499998
LAC,dosreis,5,m2,-20080.8168,565,41291.6336,680871.6336,43307.7483,94,17.654759702199975
LAC,dosreis,5,m1,-19648.5790,547,40391.1580,639903.1580,42343.0425,88,15.959905930299993
LAC,dosreis,5,m4,-21544.1891,565,44218.3783,683798.3783,46234.4929,90,12.558413998800008
LAC,dosreis,5,m5,-24169.0453,545,49428.0906,644568.0906,51372.8384,106,17.2843644613
LAC,andersen,5,m4,-9347.6304,369,19433.2607,292493.2607,20749.9799,156,9.388433132600007
LAC,andersen,5,m5,-10501.3190,349,21700.6381,266000.6381,22945.9903,162,7.8283891490999995
LAC,andersen,5,m3,-9161.6726,349,19021.3453,263321.3453,20266.6975,160,5.330636925100004
LAC,andersen,5,m2,-8825.5476,370,18391.0953,292931.0953,19711.3828,156,6.960622817000005
LAC,andersen,5,m1,-8631.7776,350,17963.5552,263663.5552,19212.4758,159,6.323059321500006
LAC,andersen,5,GTR20,-8955.0925,557,19024.1850,640636.1850,21011.7529,160,5.193175553900003
LAC,andersen,5,poisson,-9796.4428,349,20290.8857,264590.8857,21536.2379,155,5.064022154699995
LAC,opisthokonta,5,m3,-19152.6000,138,38581.2001,38893.1025,39073.6316,8,17.100893392099998
LAC,opisthokonta,5,m2,-18077.6020,158,36471.2039,36959.0097,37035.0023,8,20.920151400600005
LAC,opisthokonta,5,m1,-17817.1189,139,35912.2378,36231.2542,36408.2377,8,19.04005903320001
LAC,opisthokonta,5,poisson,-21116.5625,137,42507.1250,42812.0604,42995.9881,10,15.067489665700005
LAC,opisthokonta,5,m4,-19722.9146,157,39759.8293,40236.8678,40320.0594,12,17.718292273600003
LAC,opisthokonta,5,m5,-22044.9377,137,44363.8754,44668.8109,44852.7386,12,23.314332306400004
LAC,opisthokonta,5,GTR20,-19114.7566,345,38919.5132,277659.5132,40150.5920,6,15.727493842299996
LAC,prum,5,GTR20,-9361.0682,605,19932.1365,753192.1365,22090.9849,143,4.838768391999996
LAC,prum,5,poisson,-10429.1234,397,21652.2468,337664.2468,23068.8795,144,4.808576401099994
LAC,prum,5,m1,-9036.6090,399,18871.2180,338071.2180,20294.9875,145,5.703720354800006
LAC,prum,5,m3,-9503.3559,416,19838.7118,366782.7118,21323.1431,145,4.831182669399999
LAC,prum,5,m2,-9192.7148,418,19221.4296,369505.4296,20712.9976,138,6.122547617300004
LAC,prum,5,m4,-9738.0849,416,20308.1698,367252.1698,21792.6011,140,4.905619654600002
LAC,prum,5,m5,-10790.8047,397,22375.6094,338387.6094,23792.2422,145,6.747278837700005
LAC,ruhfel,5,poisson,-31473.7939,653,64253.5878,918377.5878,66583.7168,248,19.345926969800022
LAC,ruhfel,5,m1,-26793.0600,655,54896.1201,914256.1201,57233.3857,222,32.98681664419994
LAC,ruhfel,5,GTR20,-28797.5943,861,59317.1886,1543681.1886,62389.5333,232,19.91383454330003
LAC,ruhfel,5,m3,-28749.1338,673,58844.2676,966048.2676,61245.7634,236,20.856333377100025
LAC,ruhfel,5,m2,-27474.7774,673,56295.5549,963499.5549,58697.0507,234,32.30742337319994
