type,name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
rtree,NP,0.3,5,q3,inferredtree,-67753.3536,197,135900.7072,136160.7472,136730.1954,0,27.260397209900017
rtree,NP,0.3,5,q1,inferredtree,-64975.2151,217,130384.4302,130722.3302,131298.1304,0,27.789660970899995
rtree,NP,1.5,5,q4,optimizedtruetree,-118109.7936,197,236613.5871,236873.6271,237443.0753,0,82.77788547920004
rtree,NP,1.5,5,pogofit,inferredtree,-110653.3747,198,221702.7493,221966.3078,222536.4481,22,77.97315440579999
rtree,NP,1.5,5,q1,optimizedtruetree,-112607.7329,217,225649.4657,225987.3657,226563.1659,0,83.64651643860002
rtree,NP,1.5,5,q5,optimizedtruetree,-125710.4483,197,251814.8965,252074.9365,252644.3847,0,186.32825445269995
rtree,NP,1.5,5,poisson,optimizedtruetree,-118172.7835,197,236739.5670,236999.6070,237569.0552,0,69.49383379229998
rtree,NP,1.5,5,hbstyle,inferredtree,-113316.1113,217,227066.2225,227404.1225,227979.9227,22,84.97208370670002
rtree,NP,1.5,5,q3,optimizedtruetree,-115858.0773,216,232148.1546,232481.7632,233057.6443,0,96.11754570899997
rtree,NP,1.5,5,q5,inferredtree,-125643.9715,197,251681.9429,251941.9829,252511.4311,28,186.21400573579996
rtree,NP,1.5,5,q4,inferredtree,-118043.0825,197,236480.1649,236740.2049,237309.6531,26,82.39190279190001
rtree,NP,1.5,5,q2,inferredtree,-114495.0394,216,229422.0789,229755.6874,230331.5685,32,83.80737096600002
rtree,NP,1.5,5,q3,inferredtree,-115791.4261,216,232014.8523,232348.4608,232924.3419,28,95.64732600180005
rtree,NP,1.5,5,q1,inferredtree,-112532.2098,217,225498.4195,225836.3195,226412.1198,34,82.58985862899996
rtree,NP,1.5,5,hbstyle,optimizedtruetree,-113346.4023,217,227126.8045,227464.7045,228040.5047,0,85.1857288347
rtree,NP,1.5,5,q2,optimizedtruetree,-114572.5729,216,229577.1457,229910.7543,230486.6354,0,84.10442131960002
rtree,NP,1.5,5,poisson,inferredtree,-118095.2606,197,236584.5212,236844.5612,237414.0094,32,69.15997228270001
rtree,NP,1.5,5,pogofit,optimizedtruetree,-110700.1425,198,221796.2850,222059.8435,222629.9838,0,78.29503516159998
rtree,NP,3,5,pogofit,optimizedtruetree,-116819.8389,198,234035.6778,234299.2363,234869.3766,0,107.74535378579999
rtree,NP,3,5,q4,optimizedtruetree,-124410.3436,198,249216.6872,249480.2458,250050.3860,0,266.04168633300003
rtree,NP,3,5,hbstyle,optimizedtruetree,-120703.3565,217,241840.7129,242178.6129,242754.4132,0,117.16862971870007
rtree,NP,3,5,q4,inferredtree,-124102.2328,198,248600.4656,248864.0241,249434.1644,120,255.72558536249977
