name,model,optim,logl,k,AIC,AICc,BIC,rf_pandit,rf_q1,treelength
PF07452,poisson,inferredtree,-6940.3407,51,13982.6814,14036.8038,14136.2238,12,16,16.478185592600003
PF07452,q5,inferredtree,-7044.2369,51,14190.4737,14244.5962,14344.0161,16,18,42.98063335000001
PF07452,q4,inferredtree,-6597.3357,70,13334.6713,13460.4941,13545.4158,18,20,28.5269407532
PF07452,q2,optimizedtruetree,-6387.5508,71,12917.1015,13048.1785,13130.8566,0,6,23.534862109499997
PF07452,q3,optimizedtruetree,-6491.8155,51,13085.6311,13139.7535,13239.1735,0,6,20.9437678595
PF07452,pogofit,optimizedtruetree,-6243.3822,52,12590.7645,12647.5892,12747.3175,0,6,22.2506297153
PF07452,pogofit,inferredtree,-6243.0967,52,12590.1934,12647.0181,12746.7464,2,4,22.244271881799996
PF07452,q1,optimizedtruetree,-6375.8841,52,12855.7683,12912.5930,13012.3213,0,6,20.008082353
PF07452,q5,optimizedtruetree,-7051.4494,51,14204.8987,14259.0212,14358.4411,0,6,43.22686973970002
PF07452,q4,optimizedtruetree,-6603.5306,70,13347.0613,13472.8841,13557.8057,0,6,28.6226806262
PF07452,poisson,optimizedtruetree,-6952.4404,51,14006.8808,14061.0033,14160.4232,0,6,16.485719821999993
PF00107,q1,optimizedtruetree,-33410.8109,212,67245.6218,97349.6218,67961.1808,0,116,90.43749774689994
PF00107,pogofit,inferredtree,-32934.9964,212,66293.9928,96397.9928,67009.5519,104,72,106.85951168239998
PF00107,q5,optimizedtruetree,-37510.8699,212,75445.7399,105549.7399,76161.2989,0,116,243.91592284310002
PF00107,pogofit,optimizedtruetree,-33022.7067,212,66469.4134,96573.4134,67184.9724,0,116,108.98253294460001
PF00107,q4,optimizedtruetree,-35399.6333,232,71263.2666,179375.2666,72046.3311,0,116,153.99239619049993
PF00107,q2,inferredtree,-33833.2439,231,68128.4878,175312.4878,68908.1771,122,80,110.59391107640002
PF00107,q3,inferredtree,-34308.5539,232,69081.1079,177193.1079,69864.1724,112,98,146.4525209082
PF00107,q1,inferredtree,-33293.1490,212,67010.2979,97114.2979,67725.8570,116,0,92.31174963460005
