name,tree,repl,model,modelq
HIV,rtree64_bl3.0.tree,1,FLU+G4,4
HIV,rtree64_bl3.0.tree,1,mtInv,5
HIV,rtree64_bl3.0.tree,2,PMB+F+G4,1
HIV,rtree64_bl3.0.tree,2,JTT+F,2
HIV,rtree64_bl3.0.tree,2,WAG+G4,3
HIV,rtree64_bl3.0.tree,2,FLU+G4,4
HIV,rtree64_bl3.0.tree,2,mtInv,5
HIV,rtree64_bl3.0.tree,3,PMB+F+G4,1
HIV,rtree64_bl3.0.tree,3,JTTDCMut+F,2
HIV,rtree64_bl3.0.tree,3,WAG+G4,3
HIV,rtree64_bl3.0.tree,3,FLU+G4,4
HIV,rtree64_bl3.0.tree,3,mtInv,5
HIV,rtree64_bl3.0.tree,4,PMB+F+G4,1
HIV,rtree64_bl3.0.tree,4,JTTDCMut+F,2
HIV,rtree64_bl3.0.tree,4,WAG+G4,3
HIV,rtree64_bl3.0.tree,4,HIVb,4
HIV,rtree64_bl3.0.tree,4,mtInv,5
HIV,rtree64_bl3.0.tree,5,PMB+F+G4,1
HIV,rtree64_bl3.0.tree,5,mtMet+F+G4,2
HIV,rtree64_bl3.0.tree,5,mtInv+F,3
HIV,rtree64_bl3.0.tree,5,mtART+F,4
HIV,rtree64_bl3.0.tree,5,mtInv,5
HIV,btree64_bl0.3.tree,1,JTT+F+G4,1
HIV,btree64_bl0.3.tree,1,VT,2
HIV,btree64_bl0.3.tree,1,Blosum62+F,3
HIV,btree64_bl0.3.tree,1,rtREV+G4,4
HIV,btree64_bl0.3.tree,1,mtART,5
HIV,btree64_bl0.3.tree,2,JTT+F+G4,1
HIV,btree64_bl0.3.tree,2,WAG,2
HIV,btree64_bl0.3.tree,2,DCMut+G4,3
HIV,btree64_bl0.3.tree,2,rtREV+G4,4
HIV,btree64_bl0.3.tree,2,mtART,5
HIV,btree64_bl0.3.tree,3,JTT+F+G4,1
HIV,btree64_bl0.3.tree,3,cpREV+F+G4,2
HIV,btree64_bl0.3.tree,3,Dayhoff+G4,3
HIV,btree64_bl0.3.tree,3,rtREV+G4,4
HIV,btree64_bl0.3.tree,3,mtART,5
HIV,btree64_bl0.3.tree,4,JTT+G4,1
HIV,btree64_bl0.3.tree,4,VT,2
HIV,btree64_bl0.3.tree,4,LG+F+G4,3
HIV,btree64_bl0.3.tree,4,rtREV+G4,4
HIV,btree64_bl0.3.tree,4,mtART,5
HIV,btree64_bl0.3.tree,5,JTT+F+G4,1
HIV,btree64_bl0.3.tree,5,HIVw+F,2
HIV,btree64_bl0.3.tree,5,DCMut+G4,3
HIV,btree64_bl0.3.tree,5,rtREV+G4,4
HIV,btree64_bl0.3.tree,5,mtART,5
HIV,btree64_bl3.0.tree,1,PMB+F+G4,1
HIV,btree64_bl3.0.tree,1,JTT+F,2
HIV,btree64_bl3.0.tree,1,mtART+F+G4,3
HIV,btree64_bl3.0.tree,1,HIVb,4
HIV,btree64_bl3.0.tree,1,mtInv,5
HIV,btree64_bl3.0.tree,2,PMB+F+G4,1
HIV,btree64_bl3.0.tree,2,JTTDCMut+F,2
HIV,btree64_bl3.0.tree,2,cpREV+G4,3
HIV,btree64_bl3.0.tree,2,FLU+G4,4
HIV,btree64_bl3.0.tree,2,mtInv,5
HIV,btree64_bl3.0.tree,3,PMB+F+G4,1
HIV,btree64_bl3.0.tree,3,JTTDCMut+F,2
HIV,btree64_bl3.0.tree,3,WAG+G4,3
HIV,btree64_bl3.0.tree,3,FLU+G4,4
HIV,btree64_bl3.0.tree,3,mtInv,5
HIV,btree64_bl3.0.tree,4,PMB+F+G4,1
HIV,btree64_bl3.0.tree,4,FLU+F+G4,2
HIV,btree64_bl3.0.tree,4,WAG+G4,3
HIV,btree64_bl3.0.tree,4,FLU+G4,4
HIV,btree64_bl3.0.tree,4,mtInv,5
HIV,btree64_bl3.0.tree,5,PMB+F+G4,1
HIV,btree64_bl3.0.tree,5,JTTDCMut+F,2
HIV,btree64_bl3.0.tree,5,WAG+G4,3
HIV,btree64_bl3.0.tree,5,FLU+G4,4
HIV,btree64_bl3.0.tree,5,mtInv,5
Gal4,rtree64_bl0.3.tree,1,JTT+G4,1
Gal4,rtree64_bl0.3.tree,1,FLU+G4,2
Gal4,rtree64_bl0.3.tree,1,mtREV+F+G4,3
Gal4,rtree64_bl0.3.tree,1,cpREV+F,4
Gal4,rtree64_bl0.3.tree,1,mtART,5
Gal4,rtree64_bl0.3.tree,2,HIVb+I+G4,1
Gal4,rtree64_bl0.3.tree,2,JTT+F,2
Gal4,rtree64_bl0.3.tree,2,cpREV+I,3
Gal4,rtree64_bl0.3.tree,2,mtZOA+F+G4,4
Gal4,rtree64_bl0.3.tree,2,mtART,5
Gal4,rtree64_bl0.3.tree,3,JTT+G4,1
Gal4,rtree64_bl0.3.tree,3,mtInv+F+G4,2
Gal4,rtree64_bl0.3.tree,3,cpREV,3
Gal4,rtree64_bl0.3.tree,3,mtREV+F+I,4
Gal4,rtree64_bl0.3.tree,3,mtART,5
Gal4,rtree64_bl0.3.tree,4,JTT+G4,1
Gal4,rtree64_bl0.3.tree,4,JTT+F,2
Gal4,rtree64_bl0.3.tree,4,cpREV,3
Gal4,rtree64_bl0.3.tree,4,DCMut+F+I,4
Gal4,rtree64_bl0.3.tree,4,mtART,5
Gal4,rtree64_bl0.3.tree,5,JTT+I+G4,1
Gal4,rtree64_bl0.3.tree,5,mtVer+F+I+G4,2
Gal4,rtree64_bl0.3.tree,5,VT+F+I,3
Gal4,rtree64_bl0.3.tree,5,cpREV+F,4
Gal4,rtree64_bl0.3.tree,5,mtART,5
Gal4,rtree64_bl3.0.tree,1,PMB+I+G4,1
Gal4,rtree64_bl3.0.tree,1,cpREV+F+G4,2
Gal4,rtree64_bl3.0.tree,1,mtMAM+F+I+G4,3
Gal4,rtree64_bl3.0.tree,1,FLU+F,4
Gal4,rtree64_bl3.0.tree,1,mtART,5
Gal4,rtree64_bl3.0.tree,2,PMB+G4,1
Gal4,rtree64_bl3.0.tree,2,mtREV+F+G4,2
Gal4,rtree64_bl3.0.tree,2,JTT+F,3
Gal4,rtree64_bl3.0.tree,2,mtART+G4,4
Gal4,rtree64_bl3.0.tree,2,mtART,5
Gal4,rtree64_bl3.0.tree,3,PMB+G4,1
Gal4,rtree64_bl3.0.tree,3,Dayhoff+G4,2
Gal4,rtree64_bl3.0.tree,3,mtMAM+F+G4,3
Gal4,rtree64_bl3.0.tree,3,mtInv+F,4
Gal4,rtree64_bl3.0.tree,3,mtART,5
Gal4,rtree64_bl3.0.tree,4,PMB+I+G4,1
Gal4,rtree64_bl3.0.tree,4,Dayhoff+I+G4,2
Gal4,rtree64_bl3.0.tree,4,mtZOA+G4,3
Gal4,rtree64_bl3.0.tree,4,DCMut+I,4
Gal4,rtree64_bl3.0.tree,4,mtART,5
Gal4,rtree64_bl3.0.tree,5,VT+F+I+G4,1
Gal4,rtree64_bl3.0.tree,5,mtREV+F+G4,2
Gal4,rtree64_bl3.0.tree,5,Blosum62+I,3
Gal4,rtree64_bl3.0.tree,5,mtInv+F,4
Gal4,rtree64_bl3.0.tree,5,mtART+I,5
Gal4,btree64_bl0.3.tree,1,JTT+I+G4,1
Gal4,btree64_bl0.3.tree,1,FLU+F+I+G4,2
Gal4,btree64_bl0.3.tree,1,PMB,3
Gal4,btree64_bl0.3.tree,1,LG+F,4
Gal4,btree64_bl0.3.tree,1,mtART,5
Gal4,btree64_bl0.3.tree,2,JTT+G4,1
Gal4,btree64_bl0.3.tree,2,PMB+G4,2
Gal4,btree64_bl0.3.tree,2,PMB+F+I,3
Gal4,btree64_bl0.3.tree,2,Dayhoff,4
Gal4,btree64_bl0.3.tree,2,mtART,5
Gal4,btree64_bl0.3.tree,3,JTT+I+G4,1
Gal4,btree64_bl0.3.tree,3,mtMet+F+I+G4,2
Gal4,btree64_bl0.3.tree,3,cpREV+I,3
Gal4,btree64_bl0.3.tree,3,mtZOA+G4,4
Gal4,btree64_bl0.3.tree,3,mtART,5
Gal4,btree64_bl0.3.tree,4,JTT+I+G4,1
Gal4,btree64_bl0.3.tree,4,VT+F+G4,2
Gal4,btree64_bl0.3.tree,4,Blosum62+G4,3
Gal4,btree64_bl0.3.tree,4,mtVer+I,4
Gal4,btree64_bl0.3.tree,4,mtART,5
Gal4,btree64_bl0.3.tree,5,JTT+G4,1
Gal4,btree64_bl0.3.tree,5,PMB+F+G4,2
Gal4,btree64_bl0.3.tree,5,WAG,3
Gal4,btree64_bl0.3.tree,5,Blosum62,4
Gal4,btree64_bl0.3.tree,5,mtART+I,5
Gal4,btree64_bl3.0.tree,1,PMB+G4,1
Gal4,btree64_bl3.0.tree,1,DCMut+G4,2
Gal4,btree64_bl3.0.tree,1,VT+F,3
Gal4,btree64_bl3.0.tree,1,DCMut,4
Gal4,btree64_bl3.0.tree,1,mtART,5
Gal4,btree64_bl3.0.tree,2,PMB+G4,1
Gal4,btree64_bl3.0.tree,2,mtREV+F+G4,2
Gal4,btree64_bl3.0.tree,2,JTTDCMut+F,3
Gal4,btree64_bl3.0.tree,2,mtART+G4,4
Gal4,btree64_bl3.0.tree,2,mtART,5
Gal4,btree64_bl3.0.tree,3,PMB+I+G4,1
Gal4,btree64_bl3.0.tree,3,Dayhoff+G4,2
Gal4,btree64_bl3.0.tree,3,mtART+F+G4,3
Gal4,btree64_bl3.0.tree,3,rtREV+F,4
Gal4,btree64_bl3.0.tree,3,mtART,5
Gal4,btree64_bl3.0.tree,4,PMB+I+G4,1
Gal4,btree64_bl3.0.tree,4,mtMet+F+I+G4,2
Gal4,btree64_bl3.0.tree,4,WAG+I,3
Gal4,btree64_bl3.0.tree,4,DCMut+I,4
Gal4,btree64_bl3.0.tree,4,mtART,5
Gal4,btree64_bl3.0.tree,5,PMB+G4,1
Gal4,btree64_bl3.0.tree,5,FLU+F+G4,2
Gal4,btree64_bl3.0.tree,5,mtMet+G4,3
Gal4,btree64_bl3.0.tree,5,mtART+G4,4
Gal4,btree64_bl3.0.tree,5,mtART,5
LAC,rtree64_bl0.3.tree,1,JTT+F+I+G4,1
LAC,rtree64_bl0.3.tree,1,mtMet+F+I+G4,2
LAC,rtree64_bl0.3.tree,1,cpREV,3
LAC,rtree64_bl0.3.tree,1,rtREV+F+I,4
LAC,rtree64_bl0.3.tree,1,mtART,5
LAC,rtree64_bl0.3.tree,2,JTT+F+I+G4,1
LAC,rtree64_bl0.3.tree,2,JTTDCMut+F,2
LAC,rtree64_bl0.3.tree,2,Dayhoff+F+I,3
LAC,rtree64_bl0.3.tree,2,mtInv+G4,4
LAC,rtree64_bl0.3.tree,2,mtART,5
LAC,rtree64_bl0.3.tree,3,JTT+F+I+G4,1
LAC,rtree64_bl0.3.tree,3,JTTDCMut,2
LAC,rtree64_bl0.3.tree,3,cpREV,3
LAC,rtree64_bl0.3.tree,3,mtVer+F+I,4
LAC,rtree64_bl0.3.tree,3,mtART,5
LAC,rtree64_bl0.3.tree,4,JTT+F+I+G4,1
LAC,rtree64_bl0.3.tree,4,JTTDCMut,2
LAC,rtree64_bl0.3.tree,4,LG+F+I,3
LAC,rtree64_bl0.3.tree,4,mtInv+G4,4
LAC,rtree64_bl0.3.tree,4,mtART,5
LAC,rtree64_bl0.3.tree,5,JTT+I+G4,1
LAC,rtree64_bl0.3.tree,5,WAG+I,2
LAC,rtree64_bl0.3.tree,5,rtREV+F+I+G4,3
LAC,rtree64_bl0.3.tree,5,mtMet+F+I,4
LAC,rtree64_bl0.3.tree,5,mtART,5
LAC,rtree64_bl3.0.tree,1,LG+F+I+G4,1
LAC,rtree64_bl3.0.tree,1,mtMAM+F+I+G4,2
LAC,rtree64_bl3.0.tree,1,PMB+F+I,3
LAC,rtree64_bl3.0.tree,1,mtREV+F+I,4
LAC,rtree64_bl3.0.tree,1,HIVw,5
LAC,rtree64_bl3.0.tree,2,LG+F+I+G4,1
