name,tree,rep,model,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,andersen,5,q1,-26849.8411,355,54409.6822,56189.6822,55904.4452,80,9.372563061100006
NP,andersen,5,q2,-27599.1757,372,55942.3514,58162.4474,57508.6946,76,9.426850439499999
NP,andersen,5,q3,-27913.5674,374,56575.1348,58855.6226,58149.8992,76,11.520481732000004
NP,andersen,5,q4,-28571.8494,354,57851.6987,59609.3211,59342.2512,76,12.905455439899992
NP,andersen,5,q5,-31577.7729,353,63861.5457,65597.1291,65347.8876,90,12.979613901700006
NP,dosreis,5,poisson,-66521.1950,545,134132.3900,729272.3900,136427.1670,30,20.3428229752
NP,dosreis,5,q1,-60593.4396,565,122316.8791,761896.8791,124695.8682,32,23.656036345699988
NP,dosreis,5,q2,-62577.3096,565,126284.6192,765864.6192,128663.6082,38,27.265518781699996
NP,dosreis,5,q3,-63734.1339,545,128558.2678,723698.2678,130853.0448,36,20.357438725400012
NP,dosreis,5,q4,-65172.7729,545,131435.5458,726575.5458,133730.3229,44,21.06657335840003
NP,dosreis,5,q5,-73983.2086,545,149056.4172,744196.4172,151351.1942,48,28.066418996399996
NP,greenalga,5,poisson,-11142.1971,43,22370.3943,22378.7291,22551.4501,0,3.5320534245000004
NP,greenalga,5,q1,-10341.4369,45,20772.8738,20782.0331,20962.3508,0,3.957960640500001
NP,greenalga,5,q2,-10549.5528,63,21225.1057,21243.6863,21490.3735,0,3.9289423549000007
NP,greenalga,5,q3,-10676.8556,63,21479.7112,21498.2918,21744.9790,0,4.1427810055
NP,greenalga,5,q4,-10973.0484,63,22072.0968,22090.6775,22337.3647,0,5.328630942900001
NP,greenalga,5,q5,-12236.0806,43,24558.1612,24566.4960,24739.2170,2,5.1392190678
NP,opisthokonta,5,poisson,-56815.9358,137,113905.8715,114010.9049,114482.7238,16,25.3130081851
NP,opisthokonta,5,q1,-52539.1303,157,105392.2605,105538.1782,106053.3247,6,29.689146995900003
NP,opisthokonta,5,q2,-54060.0821,138,108396.1641,108503.0277,108977.2270,10,28.589047434000005
NP,opisthokonta,5,q3,-54990.5339,156,110293.0678,110436.7159,110949.9215,20,26.9010453571
NP,opisthokonta,5,q4,-56004.8894,138,112285.7789,112392.6424,112866.8417,8,46.649640492
NP,opisthokonta,5,q5,-62226.8541,137,124727.7082,124832.7415,125304.5604,8,44.7526711597
NP,prum,5,poisson,-30330.4903,397,61454.9807,64615.1007,63126.5889,90,8.067279473499996
NP,prum,5,q1,-27786.5524,398,56369.1049,59577.2261,58044.9237,76,8.864204012999998
NP,prum,5,q2,-28749.0614,398,58294.1228,61502.2440,59969.9416,90,10.865003339799992
NP,prum,5,q3,-29272.3746,397,59338.7492,62498.8692,61010.3574,88,7.8764561876
NP,prum,5,q4,-29706.8494,416,60245.6989,64528.9581,61997.3085,96,8.1467741616
NP,prum,5,q5,-33857.1401,397,68508.2803,71668.4003,70179.8885,104,10.059703559700012
NP,ruhfel,5,poisson,-88758.4564,697,178910.9129,1151922.9129,181845.7011,114,31.998531973800027
NP,ruhfel,5,q1,-81522.8568,698,164441.7136,1140245.7136,167380.7125,114,33.954739241300004
NP,ruhfel,5,q2,-83952.7181,717,169339.4361,1198951.4361,172358.4364,106,43.997666684799995
NP,ruhfel,5,q3,-85213.1374,717,171860.2749,1201472.2749,174879.2751,116,45.91682059389997
NP,ruhfel,5,q4,-87304.7998,717,176043.5996,1205655.5996,179062.5998,116,51.75527677590002
NP,ruhfel,5,q5,-97564.6501,697,196523.3003,1169535.3003,199458.0885,118,49.68166547430002
NP,salichos,5,poisson,-20580.3265,43,41246.6530,41254.9878,41427.7088,4,9.5323447199
NP,salichos,5,q1,-19248.5223,64,38625.0447,38644.2595,38894.5231,6,12.2559364011
NP,salichos,5,q2,-19682.2431,45,39454.4863,39463.6456,39643.9633,8,13.2280573865
NP,salichos,5,q3,-19933.8512,44,39955.7025,39964.4442,40140.9689,6,10.8466108726
NP,salichos,5,q4,-20440.1910,44,40968.3821,40977.1238,41153.6485,4,13.9829229168
NP,salichos,5,q5,-22109.6471,44,44307.2943,44316.0360,44492.5607,8,19.181068132700002
NP,rayfinned,5,poisson,-49914.5458,607,101043.0917,839155.0917,103598.9259,76,14.13553906280001
NP,rayfinned,5,q1,-45607.5563,608,92431.1127,832975.1127,94991.1575,80,15.00472694189999
NP,rayfinned,5,q2,-46884.1818,627,95022.3636,882534.3636,97662.4098,80,17.93032755679999
NP,rayfinned,5,q3,-47857.6961,626,96967.3921,881971.3921,99603.2278,90,14.478614337599991
NP,rayfinned,5,q4,-48854.5913,628,98965.1825,888989.1825,101609.4394,86,20.992665827900005
NP,rayfinned,5,q5,-54526.1035,608,110268.2070,850812.2070,112828.2518,96,18.759018185400027
NP,spiralia,5,poisson,-38132.5338,203,76671.0676,76952.7818,77525.8194,8,12.628732120399995
NP,spiralia,5,q1,-34609.0413,223,69664.0826,70028.6957,70603.0464,6,15.61945922420001
NP,spiralia,5,q2,-35708.9414,223,71863.8829,72228.4960,72802.8467,8,18.3610816922
NP,spiralia,5,q3,-36431.6037,204,73271.2074,73556.6682,74130.1699,8,14.46901509680001
NP,spiralia,5,q4,-37111.6828,224,74671.3655,75040.5963,75614.5400,12,25.860338592799994
NP,spiralia,5,q5,-42416.7748,203,85239.5496,85521.2639,86094.3014,20,18.709739534799994
NP,andersen,6,poisson,-29123.8523,353,58953.7047,60689.2880,60440.0465,80,9.080131698899999
NP,andersen,6,q1,-26958.6896,355,54627.3793,56407.3793,56122.1423,82,9.752540053600008
NP,andersen,6,q2,-27699.3398,355,56108.6797,57888.6797,57603.4427,84,10.313504349499999
NP,andersen,6,q3,-28043.8163,373,56833.6326,59083.6649,58404.1865,82,9.886094145299998
NP,andersen,6,q4,-28585.9882,354,57879.9765,59637.5988,59370.5289,76,9.977971395499992
NP,andersen,6,q5,-31761.7096,353,64229.4192,65965.0025,65715.7610,74,13.5352610652
