name,model,logl,k,AIC,AICc,BIC,rf,treelength
PF00571,m3,-109284.2062,891,220350.4123,1809894.4123,223598.5055,584,714.9340973796998
PF00571,m2,-108383.2854,871,218508.5708,1737532.5708,221683.7551,550,332.95866256770006
PF00571,m1,-106170.6995,872,214085.3990,1736597.3990,217264.2287,0,435.6137848047004
PF00571,GTR20,-105980.0398,1079,214118.0796,2544758.0796,218051.5168,556,413.0149187325006
PF00534,GTR20,-30498.8981,361,61719.7961,323083.7961,62970.2394,92,78.41450509759999
PF00534,m1,-30388.2899,154,61084.5798,61673.9625,61618.0099,0,93.69242110339995
PF00534,m3,-31064.9089,173,62475.8179,63446.8501,63075.0608,86,88.91863613670007
PF00534,m2,-30796.5466,173,61939.0932,62910.1254,62538.3361,76,81.87255647409998
PF00534,m4,-31757.5582,172,63859.1164,64803.7513,64454.8954,110,110.43317715929997
PF00534,m5,-33317.2734,154,66942.5468,67531.9295,67475.9769,108,171.93587099839996
PF00534,poisson,-33033.0756,153,66372.1513,66946.8342,66902.1175,100,60.65580254899998
PF01827,m1,-33702.4732,243,67890.9465,186474.9465,68711.1391,0,111.65241874749996
PF01827,poisson,-37224.2325,223,74894.4650,174798.4650,75647.1521,130,71.38878268649997
PF01827,m3,-34952.4322,224,70352.8645,171152.8645,71108.9269,106,135.1811562391
PF01827,m2,-34201.2987,224,68850.5974,169650.5974,69606.6597,108,115.12480455059998
PF01827,m4,-35147.2333,243,70780.4665,189364.4665,71600.6592,138,119.7649507276999
PF01827,m5,-37426.4436,224,75300.8872,176100.8872,76056.9495,144,154.08945222320003
PF01827,GTR20,-33831.8545,431,68525.7091,440909.7091,69980.4541,120,83.22828936319998
PF00555,GTR20,-15491.7874,281,31545.5748,190029.5748,32549.3500,26,28.77646254979999
PF00555,poisson,-16641.7897,73,33429.5793,33486.7433,33690.3466,26,25.00752149489999
PF00555,m2,-15673.5496,74,31495.0991,31554.1417,31759.4385,22,42.093799458700005
PF00555,m3,-15935.1574,73,32016.3148,32073.4788,32277.0820,28,28.95589788500001
PF00555,m1,-15355.9320,93,30897.8639,31001.3195,31230.0742,0,53.56694014859998
PF00555,m5,-17110.4461,74,34368.8923,34427.9348,34633.2317,26,64.44504910399999
PF00555,m4,-16152.1133,93,32490.2266,32593.6823,32822.4370,26,42.288365171600006
PF00611,m4,-6600.0603,59,13318.1206,13444.5492,13480.5825,12,54.20262532329997
PF00611,m5,-6942.9277,58,14001.8554,14121.9256,14161.5637,22,66.99112632239999
PF00611,m1,-6395.1200,58,12906.2401,13026.3102,13065.9483,0,34.168340609
PF00611,GTR20,-6257.0152,265,13044.0305,154024.0305,13773.7319,16,30.589395305799997
PF00611,m3,-6506.8834,58,13129.7669,13249.8370,13289.4751,12,32.76073717330001
PF00611,m2,-6452.6609,58,13021.3218,13141.3920,13181.0300,18,29.2585923011
PF00611,poisson,-6991.5685,57,14097.1371,14211.1371,14254.0917,30,22.444676726500003
PF01595,poisson,-41152.2926,215,82734.5853,87894.5853,83477.4793,68,56.452376835699994
PF01595,m2,-36411.6040,236,73295.2080,185159.2080,74110.6638,30,107.69737357509997
PF01595,m3,-37151.4653,215,74732.9307,79892.9307,75475.8247,40,64.01323346290005
PF01595,m1,-35776.2729,235,72022.5458,182942.5458,72834.5462,0,92.05898142280003
PF01595,GTR20,-36262.5372,423,73371.0745,432075.0745,74832.6753,40,67.44364551539998
PF01595,m5,-40707.3231,216,81846.6461,87360.9991,82592.9955,76,122.58137727329995
PF01595,m4,-37888.3517,235,76246.7033,187166.7033,77058.7038,52,88.29355456619997
PF05157,poisson,-6944.4542,49,13986.9083,14031.0524,14137.8971,22,18.508027076700007
PF05157,m4,-6576.2948,50,13252.5896,13298.9532,13406.6598,20,29.712175734000002
PF05157,m5,-6964.0532,50,14028.1064,14074.4700,14182.1766,28,34.9868340868
PF05157,GTR20,-6219.5438,257,12953.0877,145565.0877,13745.0086,12,23.1113046617
PF05157,m1,-6333.3467,50,12766.6933,12813.0570,12920.7636,0,31.430751179900003
PF05157,m3,-6411.5034,70,12963.0069,13073.4513,13178.7052,22,46.571569755400006
PF05157,m2,-6398.2856,50,12896.5712,12942.9349,13050.6415,18,22.483892031700005
PF00733,m1,-54061.2021,224,108570.4042,108950.7815,109509.9510,0,108.38674250529995
PF00733,m2,-55014.7843,223,110475.5685,110851.1475,111410.9209,70,164.96831803339998
PF00733,m3,-56241.2888,223,112928.5776,113304.1566,113863.9300,82,81.35892210210007
PF00733,m5,-62452.7007,203,125311.4013,125600.9957,126162.8656,110,190.50529596709993
PF00733,m4,-57887.2996,222,116218.5991,116589.4306,117149.7571,88,94.76386854100002
PF00733,GTR20,-55376.5577,411,111575.1154,115916.9615,113299.0160,82,69.2524642174
PF00733,poisson,-59743.6438,203,119893.2875,120182.8819,120744.7518,88,59.85653155209999
PF05685,GTR20,-33464.4279,567,68062.8558,712174.8558,69882.6344,106,93.75189019459995
PF05685,poisson,-36925.8841,359,74569.7681,333049.7681,75721.9737,156,81.84068786099996
PF05685,m3,-34356.6192,359,69431.2383,327911.2383,70583.4438,112,99.83685506930004
PF05685,m2,-33704.2930,379,68166.5861,356206.5861,69382.9813,88,116.77286344750004
PF05685,m1,-33115.9525,379,66989.9050,355029.9050,68206.3003,0,88.7119322133
PF05685,m4,-35251.0896,361,71224.1793,332588.1793,72382.8038,140,211.84784477049996
PF05685,m5,-39103.8846,360,78927.7692,338847.7692,80083.1842,160,210.70051691500004
PF01432,poisson,-27896.0073,57,55906.0145,55918.1244,56157.0183,8,17.068805521
PF01432,GTR20,-25644.2716,265,51818.5431,52235.6437,52985.4903,4,19.8439774493
PF01432,m5,-28820.0591,57,57754.1183,57766.2282,58005.1220,12,46.052539424100004
PF01432,m4,-26838.7279,78,53833.4557,53856.9300,54176.9345,12,34.58806859270002
PF01432,m2,-25852.4381,77,51858.8763,51881.7128,52197.9515,2,26.262029566399992
PF01432,m3,-26165.6380,77,52485.2761,52508.1126,52824.3513,0,21.66245776509999
PF01432,m1,-25518.8817,59,51155.7634,51168.7781,51415.5743,0,27.5374591844
PF02779,poisson,-32886.0886,227,66226.1771,71674.1771,67022.8083,102,40.1144671176
PF02779,GTR20,-29588.4458,435,60046.8917,439366.8917,61573.4756,40,45.72169916050002
PF02779,m4,-31200.7003,248,62897.4007,186401.4007,63767.7290,82,113.42670828220001
PF02779,m5,-34009.3445,228,68474.6890,74276.0223,69274.8295,82,52.76654534619999
PF02779,m1,-29337.0428,247,59168.0857,181680.0857,60034.9046,0,59.91405893649997
PF02779,m3,-30605.2470,228,61666.4940,67467.8273,62466.6345,50,48.7135596974
PF02779,m2,-30148.2141,228,60752.4283,66553.7616,61552.5688,28,43.42588356319998
PF02852,poisson,-20479.4864,199,41356.9727,120956.9727,41943.7760,96,44.94229197
PF02852,m5,-20860.8846,200,42121.7691,122521.7691,42711.5211,106,93.04668187399997
PF02852,m4,-19384.9576,219,39207.9152,135567.9152,39853.6937,62,65.04548325829998
