name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,opisthokonta,2,r5,inferredtree,-60903.8610,138,122083.7219,122190.5854,122664.7847,10,45.42426215760002
NP,opisthokonta,2,poisson,optimizedtruetree,-56014.7001,137,112303.4001,112408.4335,112880.2524,0,24.870525849700012
NP,opisthokonta,2,r1,optimizedtruetree,-51542.5320,157,103399.0640,103544.9816,104060.1282,0,29.33161835240001
NP,opisthokonta,2,r2,optimizedtruetree,-54068.4482,139,108414.8964,108523.6115,109000.1699,0,33.72757724769998
NP,opisthokonta,2,r3,optimizedtruetree,-55962.8063,158,112241.6126,112389.8250,112906.8874,0,67.67400705749998
NP,opisthokonta,2,r4,optimizedtruetree,-58651.1298,156,117614.2595,117757.9076,118271.1131,0,37.489477079
NP,opisthokonta,2,r5,optimizedtruetree,-60924.3835,138,122124.7670,122231.6305,122705.8298,0,45.532647384799986
NP,prum,2,poisson,inferredtree,-29908.6666,397,60611.3332,63771.4532,62282.9414,78,7.952411048199995
NP,prum,2,r1,inferredtree,-27429.2668,417,55692.5336,60050.1836,57448.3538,78,9.893508907800005
NP,prum,2,r2,inferredtree,-28767.8508,397,58329.7017,61489.8217,60001.3099,82,7.973464348700005
NP,prum,2,r3,inferredtree,-30097.4336,416,61026.8671,65310.1264,62778.4767,88,8.235115748400005
NP,prum,2,r4,inferredtree,-31909.6364,398,64615.2729,67823.3941,66291.0917,78,10.509745454000011
NP,prum,2,r5,inferredtree,-32962.6964,397,66719.3928,69879.5128,68391.0010,80,10.725872450400004
NP,prum,2,poisson,optimizedtruetree,-29941.6878,397,60677.3756,63837.4956,62348.9839,0,7.9693110734999975
NP,prum,2,r1,optimizedtruetree,-27455.7609,417,55745.5218,60103.1718,57501.3420,0,9.965698618400005
NP,prum,2,r2,optimizedtruetree,-28802.5883,397,58399.1766,61559.2966,60070.7849,0,7.988854544199995
NP,prum,2,r3,optimizedtruetree,-30134.4145,416,61100.8290,65384.0883,62852.4387,0,8.2497898304
NP,prum,2,r4,optimizedtruetree,-31958.6707,398,64713.3413,67921.4625,66389.1601,0,10.537517445699997
NP,prum,2,r5,optimizedtruetree,-33021.2819,397,66836.5638,69996.6838,68508.1720,0,10.750486137900005
NP,ruhfel,2,poisson,inferredtree,-88431.8986,695,178253.7972,1145693.7972,181180.1642,118,31.981539131799995
NP,ruhfel,2,r1,inferredtree,-81551.0809,697,164496.1618,1137508.1618,167430.9500,108,34.77522666289997
NP,ruhfel,2,r2,inferredtree,-85365.4945,715,172160.9890,1196040.9890,175171.5680,110,36.44294487399999
NP,ruhfel,2,r3,inferredtree,-89201.9648,695,179793.9296,1147233.9296,182720.2966,116,40.21521169369999
NP,ruhfel,2,r4,inferredtree,-94015.3682,696,189422.7364,1159646.7364,192353.3140,126,79.21229883970001
NP,ruhfel,2,r5,inferredtree,-97148.5113,696,195689.0226,1165913.0226,198619.6003,120,51.2131257548
NP,ruhfel,2,poisson,optimizedtruetree,-88461.7527,695,178313.5053,1145753.5053,181239.8724,26,32.02824162509998
NP,ruhfel,2,r1,optimizedtruetree,-81567.4139,697,164528.8278,1137540.8278,167463.6160,26,34.68138796940003
NP,ruhfel,2,r2,optimizedtruetree,-85389.3594,715,172208.7188,1196088.7188,175219.2979,26,36.44979105670002
NP,ruhfel,2,r3,optimizedtruetree,-89239.8383,695,179869.6767,1147309.6767,182796.0437,26,40.13636201270002
NP,ruhfel,2,r4,optimizedtruetree,-94074.1742,696,189540.3484,1159764.3484,192470.9261,26,78.94930679459998
NP,ruhfel,2,r5,optimizedtruetree,-97243.2220,696,195878.4441,1166102.4441,198809.0217,26,51.51276712349999
NP,salichos,2,poisson,inferredtree,-21137.9938,43,42361.9876,42370.3224,42543.0434,6,9.8661882341
NP,salichos,2,r1,inferredtree,-19779.5079,63,39685.0158,39703.5964,39950.2836,4,12.720299265
NP,salichos,2,r2,inferredtree,-20578.2520,62,41280.5039,41298.4625,41541.5611,6,14.1159064591
NP,salichos,2,r3,inferredtree,-21271.6594,45,42633.3188,42642.4780,42822.7958,4,17.8753048851
NP,salichos,2,r4,inferredtree,-22006.7967,45,44103.5934,44112.7527,44293.0704,12,36.094816312999995
NP,salichos,2,r5,inferredtree,-22806.1263,43,45698.2525,45706.5873,45879.3083,12,20.069415131099998
NP,salichos,2,poisson,optimizedtruetree,-21144.1004,43,42374.2008,42382.5356,42555.2566,0,9.904253430599995
NP,salichos,2,r1,optimizedtruetree,-19781.8798,63,39689.7596,39708.3403,39955.0274,0,12.734555579600002
NP,salichos,2,r2,optimizedtruetree,-20581.1656,62,41286.3312,41304.2898,41547.3884,0,14.1705234585
NP,salichos,2,r3,optimizedtruetree,-21279.0332,45,42648.0664,42657.2257,42837.5434,0,17.972413874199994
NP,salichos,2,r4,optimizedtruetree,-22020.9683,45,44131.9366,44141.0959,44321.4136,0,36.60734617949998
NP,salichos,2,r5,optimizedtruetree,-22830.6432,43,45747.2864,45755.6212,45928.3422,0,20.132373439000006
NP,rayfinned,2,poisson,inferredtree,-53125.0242,607,107464.0485,845576.0485,110019.8827,70,15.381098932600002
NP,rayfinned,2,r1,inferredtree,-48630.6298,608,98477.2596,839021.2596,101037.3045,72,16.096076726599993
NP,rayfinned,2,r2,inferredtree,-51095.6366,608,103407.2732,843951.2732,105967.3181,62,16.173052143300012
NP,rayfinned,2,r3,inferredtree,-53747.0457,627,108748.0914,896260.0914,111388.1377,78,16.130557763299993
NP,rayfinned,2,r4,inferredtree,-55920.6921,608,113057.3842,853601.3842,115617.4290,74,19.006786823800017
NP,rayfinned,2,r5,inferredtree,-58343.6338,607,117901.2677,856013.2677,120457.1019,82,20.02765326569997
NP,rayfinned,2,poisson,optimizedtruetree,-53147.7564,607,107509.5128,845621.5128,110065.3471,0,15.398265035699982
NP,rayfinned,2,r1,optimizedtruetree,-48645.4624,608,98506.9249,839050.9249,101066.9697,0,16.123676668599987
NP,rayfinned,2,r2,optimizedtruetree,-51120.0837,608,103456.1673,844000.1673,106016.2122,0,16.212324479099973
NP,rayfinned,2,r3,optimizedtruetree,-53782.8759,627,108819.7517,896331.7517,111459.7980,0,16.143139536299998
NP,rayfinned,2,r4,optimizedtruetree,-55959.5133,608,113135.0266,853679.0266,115695.0715,0,19.01359826259999
NP,rayfinned,2,r5,optimizedtruetree,-58412.2531,607,118038.5062,856150.5062,120594.3404,0,20.0499986812
NP,spiralia,2,poisson,inferredtree,-35413.5790,203,71233.1580,71514.8723,72087.9098,10,11.445170367700005
NP,spiralia,2,r1,inferredtree,-32105.3906,204,64618.7811,64904.2419,65477.7435,6,12.313165549699995
NP,spiralia,2,r2,inferredtree,-33616.2303,205,67642.4606,67931.7072,68505.6337,6,13.008400624499997
NP,spiralia,2,r3,inferredtree,-35116.2605,204,70640.5210,70925.9818,71499.4834,8,13.268610469299999
NP,spiralia,2,r4,inferredtree,-36824.7454,205,74059.4909,74348.7375,74922.6639,4,38.52085352240002
NP,spiralia,2,r5,inferredtree,-38575.4390,204,77558.8781,77844.3388,78417.8405,12,15.5733096998
NP,spiralia,2,poisson,optimizedtruetree,-35420.6251,203,71247.2501,71528.9644,72102.0019,0,11.455998619500006
NP,spiralia,2,r1,optimizedtruetree,-32109.6908,204,64627.3817,64912.8424,65486.3441,0,12.351851469600001
NP,spiralia,2,r2,optimizedtruetree,-33620.5810,205,67651.1619,67940.4085,68514.3349,0,13.004852042999987
NP,spiralia,2,r3,optimizedtruetree,-35129.9421,204,70667.8843,70953.3450,71526.8467,0,13.273346706100007
NP,spiralia,2,r4,optimizedtruetree,-36834.2403,205,74078.4807,74367.7272,74941.6537,0,38.415001101599984
NP,spiralia,2,r5,optimizedtruetree,-38591.5800,204,77591.1600,77876.6208,78450.1224,0,15.589426180700004
NP,andersen,3,poisson,inferredtree,-28363.6733,351,57429.3465,59121.8397,58907.2671,80,8.838424757199997
NP,andersen,3,r1,inferredtree,-26231.1222,352,53166.2445,54880.1203,54648.3757,90,9.304194732
NP,andersen,3,r2,inferredtree,-27328.0662,372,55400.1323,57620.2283,56966.4756,84,11.6336216361
NP,andersen,3,r3,inferredtree,-28489.3177,370,57718.6353,59880.3676,59276.5573,88,10.237526343999997
NP,andersen,3,r4,inferredtree,-29805.8866,352,60315.7731,62029.6490,61797.9043,80,12.56532543710001
NP,andersen,3,r5,inferredtree,-30869.5180,351,62441.0360,64133.5292,63918.9567,94,12.96690391079999
NP,andersen,3,poisson,optimizedtruetree,-28383.4900,351,57468.9800,59161.4732,58946.9007,4,8.8527623295
NP,andersen,3,r1,optimizedtruetree,-26251.6369,352,53207.2739,54921.1497,54689.4051,4,9.315953956700008
NP,andersen,3,r2,optimizedtruetree,-27348.1960,372,55440.3920,57660.4880,57006.7352,4,11.664564213400004
NP,andersen,3,r3,optimizedtruetree,-28519.6487,370,57779.2975,59941.0297,59337.2195,4,10.2564991446
NP,andersen,3,r4,optimizedtruetree,-29839.3523,352,60382.7047,62096.5805,61864.8359,4,12.593772255000005
NP,andersen,3,r5,optimizedtruetree,-30908.3074,351,62518.6147,64211.1079,63996.5353,4,12.942546497400004
NP,dosreis,3,poisson,inferredtree,-69371.8271,545,139833.6542,734973.6542,142128.4312,18,21.50356457940004
NP,dosreis,3,r1,inferredtree,-63148.0282,546,127388.0563,724712.0563,129687.0439,18,22.58067786279997
NP,dosreis,3,r2,inferredtree,-66268.0930,565,133666.1861,773246.1861,136045.1751,22,23.826408115800014
NP,dosreis,3,r3,inferredtree,-69785.3688,564,140698.7377,778018.7377,143073.5161,24,22.98384058189999
NP,dosreis,3,r4,inferredtree,-72721.9748,546,146535.9496,743859.9496,148834.9372,22,56.197541006400016
NP,dosreis,3,r5,inferredtree,-75784.1238,546,152660.2475,749984.2475,154959.2352,24,28.680821955200024
NP,dosreis,3,poisson,optimizedtruetree,-69378.9747,545,139847.9495,734987.9495,142142.7265,0,21.513280967899966
NP,dosreis,3,r1,optimizedtruetree,-63150.2797,546,127392.5594,724716.5594,129691.5470,0,22.599836379399996
NP,dosreis,3,r2,optimizedtruetree,-66271.2267,565,133672.4534,773252.4534,136051.4424,0,23.80188832590002
NP,dosreis,3,r3,optimizedtruetree,-69793.0479,564,140714.0957,778034.0957,143088.8741,0,22.986766939100015
NP,dosreis,3,r4,optimizedtruetree,-72727.3901,546,146546.7802,743870.7802,148845.7679,0,56.18538340560001
NP,dosreis,3,r5,optimizedtruetree,-75790.9574,546,152673.9149,749997.9149,154972.9025,0,28.691812260299972
