name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,andersen,3,m3,inferredtree,-27281.4661,372,55306.9322,57527.0282,56873.2754,88,9.716826875799995
NP,andersen,3,m4,inferredtree,-27814.3455,352,56332.6911,58046.5669,57814.8223,94,9.4765040975
NP,andersen,3,m5,inferredtree,-30869.5180,351,62441.0360,64133.5292,63918.9567,94,12.96690391079999
NP,andersen,3,poisson,inferredtree,-28363.6733,351,57429.3465,59121.8397,58907.2671,80,8.838424757199997
NP,andersen,3,m1,optimizedtruetree,-26251.6369,352,53207.2739,54921.1497,54689.4051,4,9.315953956700008
NP,andersen,3,m2,optimizedtruetree,-26910.6841,371,54563.3681,56754.0348,56125.5008,4,9.142959750300003
NP,andersen,3,m3,optimizedtruetree,-27305.7090,372,55355.4180,57575.5140,56921.7613,4,9.718056066000004
NP,andersen,3,m4,optimizedtruetree,-27845.7651,352,56395.5303,58109.4062,57877.6615,4,9.483823906799998
NP,andersen,3,m5,optimizedtruetree,-30908.3074,351,62518.6147,64211.1079,63996.5353,4,12.942546497400004
NP,andersen,3,poisson,optimizedtruetree,-28383.4900,351,57468.9800,59161.4732,58946.9007,4,8.8527623295
NP,dosreis,3,m1,inferredtree,-63148.0282,546,127388.0563,724712.0563,129687.0439,18,22.58067786279997
NP,dosreis,3,m2,inferredtree,-65157.5144,546,131407.0288,728731.0288,133706.0165,20,33.58519578190001
NP,dosreis,3,m3,inferredtree,-66364.5856,546,133821.1713,731145.1713,136120.1589,24,23.159286856500028
NP,dosreis,3,m4,inferredtree,-67417.8935,564,135963.7869,773283.7869,138338.5654,22,21.984151641999983
NP,dosreis,3,m5,inferredtree,-75784.1238,546,152660.2475,749984.2475,154959.2352,24,28.680821955200024
NP,dosreis,3,poisson,inferredtree,-69371.8271,545,139833.6542,734973.6542,142128.4312,18,21.50356457940004
NP,dosreis,3,m1,optimizedtruetree,-63150.2797,546,127392.5594,724716.5594,129691.5470,0,22.599836379399996
NP,dosreis,3,m2,optimizedtruetree,-65163.1442,546,131418.2884,728742.2884,133717.2761,0,33.48761768989999
NP,dosreis,3,m3,optimizedtruetree,-66368.8429,546,133829.6859,731153.6859,136128.6735,0,23.143395934000004
