name,tree,repl,model,modelq
HA,greenplant,20,PMB+F,3
HA,greenplant,20,mtMet+G4,4
HA,greenplant,20,mtART,5
HA,greenalga,1,HIVb+F+G4,1
HA,greenalga,1,WAG+F,2
HA,greenalga,1,PMB,3
HA,greenalga,1,mtMet+I+G4,4
HA,greenalga,1,mtART,5
HA,greenalga,2,JTT+F+G4,1
HA,greenalga,2,VT+I,2
HA,greenalga,2,Blosum62+F+G4,3
HA,greenalga,2,rtREV+I,4
HA,greenalga,2,mtART,5
HA,greenalga,3,JTT+F+G4,1
HA,greenalga,3,VT+F+I,2
HA,greenalga,3,Blosum62+F+I+G4,3
HA,greenalga,3,rtREV+F,4
HA,greenalga,3,mtART,5
HA,greenalga,4,JTT+G4,1
HA,greenalga,4,DCMut+F+I+G4,2
HA,greenalga,4,LG+F+G4,3
HA,greenalga,4,rtREV+F,4
HA,greenalga,4,mtART,5
HA,greenalga,5,JTT+G4,1
HA,greenalga,5,HIVw+F+I,2
HA,greenalga,5,FLU+I,3
HA,greenalga,5,mtMet+I+G4,4
HA,greenalga,5,mtART,5
HA,greenalga,6,JTT+G4,1
HA,greenalga,6,cpREV+G4,2
HA,greenalga,6,Dayhoff+I+G4,3
HA,greenalga,6,rtREV+I,4
HA,greenalga,6,mtART,5
HA,greenalga,7,JTT+I+G4,1
HA,greenalga,7,VT+I,2
HA,greenalga,7,LG+F+G4,3
HA,greenalga,7,rtREV+F,4
HA,greenalga,7,mtART,5
HA,greenalga,8,JTT+G4,1
HA,greenalga,8,HIVw+F+I,2
HA,greenalga,8,Blosum62+G4,3
HA,greenalga,8,rtREV+F,4
HA,greenalga,8,mtART,5
HA,greenalga,9,JTT+G4,1
HA,greenalga,9,VT+I,2
HA,greenalga,9,Blosum62+F+I+G4,3
HA,greenalga,9,mtMet+I+G4,4
HA,greenalga,9,mtART,5
HA,greenalga,10,JTT+G4,1
HA,greenalga,10,cpREV+G4,2
HA,greenalga,10,FLU+I,3
HA,greenalga,10,mtMet+I+G4,4
HA,greenalga,10,mtART,5
HA,greenalga,11,JTT+G4,1
HA,greenalga,11,cpREV+F+I+G4,2
HA,greenalga,11,Dayhoff+I+G4,3
HA,greenalga,11,rtREV+I,4
HA,greenalga,11,mtART,5
HA,greenalga,12,JTT+G4,1
HA,greenalga,12,cpREV+I+G4,2
HA,greenalga,12,Blosum62+F+I+G4,3
HA,greenalga,12,mtVer+G4,4
HA,greenalga,12,mtART,5
HA,greenalga,13,JTT+F+G4,1
HA,greenalga,13,FLU+F+G4,2
HA,greenalga,13,Blosum62+F+G4,3
HA,greenalga,13,mtMet+I+G4,4
HA,greenalga,13,mtART,5
HA,greenalga,14,JTT+F+G4,1
HA,greenalga,14,VT+I,2
HA,greenalga,14,DCMut+F+I,3
HA,greenalga,14,rtREV+I,4
HA,greenalga,14,mtART,5
HA,greenalga,15,HIVb+F+G4,1
HA,greenalga,15,VT+F+I,2
HA,greenalga,15,Dayhoff+G4,3
HA,greenalga,15,mtVer+I+G4,4
HA,greenalga,15,mtART,5
HA,greenalga,16,JTT+G4,1
HA,greenalga,16,FLU+F+I+G4,2
HA,greenalga,16,DCMut+F+I,3
HA,greenalga,16,mtVer+G4,4
HA,greenalga,16,mtART,5
HA,greenalga,17,JTT+G4,1
HA,greenalga,17,cpREV+I+G4,2
HA,greenalga,17,mtMet+F+I+G4,3
HA,greenalga,17,rtREV,4
HA,greenalga,17,mtART,5
HA,greenalga,18,HIVb+G4,1
HA,greenalga,18,WAG+I,2
HA,greenalga,18,PMB+I,3
HA,greenalga,18,mtMet+G4,4
HA,greenalga,18,mtART,5
HA,greenalga,19,JTT+I+G4,1
HA,greenalga,19,WAG+F,2
HA,greenalga,19,Dayhoff+F+I,3
HA,greenalga,19,mtVer+G4,4
HA,greenalga,19,mtART,5
HA,greenalga,20,HIVb+F+G4,1
HA,greenalga,20,cpREV+G4,2
HA,greenalga,20,Blosum62+F+G4,3
HA,greenalga,20,mtVer+G4,4
HA,greenalga,20,mtART,5
HA,opisthokonta,1,JTT+F+I+G4,1
HA,opisthokonta,1,PMB+G4,2
HA,opisthokonta,1,mtREV+F+G4,3
HA,opisthokonta,1,mtMAM+F+G4,4
HA,opisthokonta,1,mtART,5
HA,opisthokonta,2,JTT+F+G4,1
HA,opisthokonta,2,PMB+G4,2
