name,tree,repl,bic,model,modelr
HA,prum,17,NA,mtART+I+G4,4
HA,prum,17,NA,mtART,5
HA,prum,18,NA,HIVb+G4,1
HA,prum,18,NA,FLU+I,2
HA,prum,18,NA,mtMAM+F+I+G4,3
HA,prum,18,NA,mtART+G4,4
HA,prum,18,NA,mtART,5
HA,prum,19,NA,JTT+G4,1
HA,prum,19,NA,PMB,2
HA,prum,19,NA,mtREV+I,3
HA,prum,19,NA,mtART+G4,4
HA,prum,19,NA,mtART,5
HA,prum,20,NA,JTT+G4,1
HA,prum,20,NA,mtInv+F+I,2
HA,prum,20,NA,mtREV+I,3
HA,prum,20,NA,mtMAM+I,4
HA,prum,20,NA,mtART,5
HA,ruhfel,1,NA,JTT+G4,1
HA,ruhfel,1,NA,PMB+F+I,2
HA,ruhfel,1,NA,mtVer,3
HA,ruhfel,1,NA,mtART+I+G4,4
HA,ruhfel,1,NA,mtART,5
HA,ruhfel,2,NA,JTT+F+G4,1
HA,ruhfel,2,NA,mtREV+F+G4,2
HA,ruhfel,2,NA,mtInv,3
HA,ruhfel,2,NA,mtART+G4,4
HA,ruhfel,2,NA,mtART,5
HA,ruhfel,3,NA,JTT+F+G4,1
HA,ruhfel,3,NA,PMB+F,2
HA,ruhfel,3,NA,mtInv,3
HA,ruhfel,3,NA,mtART+G4,4
HA,ruhfel,3,NA,mtART,5
HA,ruhfel,4,NA,JTT+F+G4,1
HA,ruhfel,4,NA,HIVw,2
HA,ruhfel,4,NA,mtInv,3
HA,ruhfel,4,NA,mtART+G4,4
HA,ruhfel,4,NA,mtART,5
HA,ruhfel,5,NA,JTT+F+G4,1
HA,ruhfel,5,NA,FLU,2
HA,ruhfel,5,NA,mtInv,3
HA,ruhfel,5,NA,mtART+G4,4
HA,ruhfel,5,NA,mtART,5
HA,ruhfel,6,NA,JTT+F+G4,1
HA,ruhfel,6,NA,mtREV+F+G4,2
HA,ruhfel,6,NA,mtInv,3
HA,ruhfel,6,NA,mtMAM,4
HA,ruhfel,6,NA,mtART,5
HA,ruhfel,7,NA,JTT+F+G4,1
