name,tree,repl,model,logl,df,aic,aicc,bic
HA,yeast,2,mtMet,86453.327,189,173284.654,173476.686,174103.979
HA,yeast,2,mtMet+G4,84222.494,190,168824.988,169019.572,169648.648
HA,yeast,2,mtMet+F,83397.606,208,167211.212,167456.125,168112.903
HA,yeast,2,mtMet+F+G4,81314.387,209,163046.773,163294.740,163952.800
HA,yeast,2,mtVer,87024.236,189,174426.471,174618.503,175245.797
HA,yeast,2,mtVer+G4,84521.872,190,169423.744,169618.329,170247.404
HA,yeast,2,mtVer+F,83737.152,208,167890.304,168135.217,168791.995
HA,yeast,2,mtVer+F+G4,81650.366,209,163718.731,163966.697,164624.757
HA,yeast,2,mtInv,86688.980,189,173755.961,173947.993,174575.286
HA,yeast,2,mtInv+G4,84678.438,190,169736.876,169931.460,170560.536
HA,yeast,2,mtInv+F,82903.908,208,166223.817,166468.730,167125.508
HA,yeast,2,mtInv+F+G4,80983.971,209,162385.942,162633.908,163291.969
HA,yeast,3,Dayhoff,84723.847,189,169825.693,170017.725,170645.019
HA,yeast,3,Dayhoff+G4,82871.059,190,166122.118,166316.703,166945.779
HA,yeast,3,Dayhoff+F,83450.401,208,167316.801,167561.714,168218.492
HA,yeast,3,Dayhoff+F+G4,81678.607,209,163775.214,164023.181,164681.241
HA,yeast,3,mtMAM,92127.608,189,184633.217,184825.249,185452.542
HA,yeast,3,mtMAM+G4,88392.259,190,177164.518,177359.102,177988.178
HA,yeast,3,mtMAM+F,87823.389,208,176062.779,176307.691,176964.470
HA,yeast,3,mtMAM+F+G4,84957.560,209,170333.119,170581.086,171239.146
HA,yeast,3,JTT,81996.819,189,164371.639,164563.671,165190.964
HA,yeast,3,JTT+G4,80509.010,190,161398.020,161592.605,162221.681
HA,yeast,3,JTT+F,81524.504,208,163465.008,163709.921,164366.700
HA,yeast,3,JTT+F+G4,80031.592,209,160481.184,160729.150,161387.210
HA,yeast,3,WAG,82756.651,189,165891.302,166083.334,166710.627
HA,yeast,3,WAG+G4,81369.090,190,163118.181,163312.765,163941.841
HA,yeast,3,WAG+F,81885.134,208,164186.267,164431.180,165087.958
